6;120462511;120706789;1;0
7;140934867;140935010;1;0
5;43874367;43886628;1;0
17;41665566;41668031;1;0
6;57029521;57029988;1;0
1;53220663;53224253;1;0
16;2620222;2621794;-1;0
7;24674309;24674612;-1;0
6;108998482;108999125;1;0
17;2043475;2044968;-1;0
15;21735506;21735945;-1;0
22;22327300;22327814;1;0
2;149439897;149440427;1;0
19;52749942;52786807;-1;0
4;25472517;25473815;1;0
11;48306223;48307152;1;0
6;120781220;120781512;1;0
9;10829752;10830308;-1;0
11;33237008;33237409;1;0
4;96310701;96818864;1;0
16;33802764;33803217;1;0
21;44989864;44994086;-1;0
4;25504997;25506675;1;0
7;24589115;24589407;-1;0
16;13728654;13779760;-1;0
6;120840733;120845475;1;0
1;1917590;1919279;-1;0
18;59899948;59904306;1;0
19;13099033;13103161;-1;0
9;10948372;10948481;-1;0
15;34849137;34850395;-1;0
22;22318727;22319226;1;0
6;50912712;50913256;-1;0
19;17455425;17460954;-1;0
4;25608711;25619468;1;0
7;73861159;73865890;1;0
20;37530039;37530543;1;0
9;11011748;11013096;1;0
15;21742364;21742799;-1;0
22;22298124;22329122;1;0
14;82788478;82796221;-1;0
X;48913182;48919024;-1;0
14;36136108;36176468;-1;0
16;2603350;2630494;1;0
5;136381268;136381511;-1;0
22;22303224;22310401;1;0
4;25622777;25623601;1;0
9;11275314;11276314;-1;0
7;73861159;73865890;1;0
5;136376348;136397042;-1;0
15;21752278;21752710;-1;0
20;54178414;54183129;1;0
X;48913182;48919024;-1;0
14;83017106;83018144;-1;0
9;11313397;11436244;1;0
14;36070427;36165288;1;0
19;17435509;17448668;-1;0
1;1917590;1919279;-1;0
21;44994362;44995185;-1;0
22;22322472;22322969;1;0
11;7957537;7965426;-1;0
4;82629539;82798796;-1;0
5;136428892;136429854;1;0
4;15935569;15938740;-1;0
4;96841995;96857900;1;0
7;115503367;115504081;1;0
14;83018201;83039602;-1;0
19;17435509;17448668;-1;0
3;13460294;13460398;-1;0
18;3466250;3478978;1;0
7;115647461;115676329;-1;0
4;82629539;82798796;-1;0
19;17436611;17460804;-1;0
11;5938751;5951347;1;0
4;82691737;82692468;1;0
13;76984868;76987943;1;0
19;17452211;17452969;-1;0
16;2616121;2643296;-1;0
11;48420210;48421273;1;0
4;82775461;82776101;1;0
15;93416850;93422576;-1;0
1;147001931;147003618;-1;0
11;48365485;48366465;-1;0
15;93301416;93301647;-1;0
6;57046532;57055239;1;0
9;11618496;11618621;-1;0
7;24573268;24694193;1;0
11;48324920;48328471;1;0
21;26917922;26967088;-1;0
9;11618530;12058227;1;0
4;96902801;96903050;1;0
11;5967177;5968494;-1;0
15;93230034;93569483;1;0
5;136466645;136521432;1;0
6;57046532;57055239;1;0
21;26917922;26967088;-1;0
16;30875766;30895216;-1;0
3;13460424;13460889;-1;0
6;17281361;17293871;1;0
11;48345351;48352447;-1;0
19;37817359;37832160;1;0
11;5985892;5986985;-1;0
21;26889376;26939742;1;0
9;12098660;12159148;-1;0
11;83072402;83097196;-1;0
7;140997952;140999800;-1;0
8;15417215;15766649;1;0
15;40569299;40574949;1;0
6;17281361;17293871;1;0
15;40569299;40574949;1;0
9;12287320;12288238;1;0
18;79964582;79970822;1;0
1;158831351;158849506;1;0
18;79964582;79970822;1;0
1;11664200;11674354;1;0
11;59130133;59143015;-1;0
11;83072052;83107789;1;0
1;158831351;158849506;1;0
1;11664200;11674354;1;0
5;136734830;136763409;1;0
6;42879618;42889925;1;0
19;37823722;37855215;-1;0
2;149329985;149474138;1;0
21;44999208;45004727;-1;0
19;49528003;49546962;1;0
11;59142121;59142610;-1;0
14;83805496;83805640;-1;0
5;66205120;66209893;-1;0
5;136857628;136858342;1;0
19;49528003;49546962;1;0
19;57921884;57935393;-1;0
15;93257198;93260475;1;0
15;93430659;93431217;-1;0
5;44303544;44389706;-1;0
6;17224243;17281424;-1;0
2;127024252;127025723;-1;0
2;127025211;127029686;1;0
11;59142748;59155039;1;0
2;127024866;127033948;1;0
X;43654907;43746824;1;0
20;18420160;18421454;-1;0
1;120432204;120434052;-1;0
18;79970813;80033949;-1;0
5;44388732;44413989;1;0
1;109651370;109652099;1;0
6;138773509;138793319;1;0
16;30833626;30894960;-1;0
18;79970813;80033949;-1;0
11;83083687;83084138;1;0
1;120419850;120467739;1;0
16;1964959;1965509;1;0
11;83106580;83106961;-1;0
16;2644084;2645214;-1;0
X;20139968;20140444;1;0
4;64430909;64433215;1;0
4;64606418;64606613;1;0
6;138725211;138773652;-1;0
20;18383367;18467281;-1;0
4;64607703;64608831;-1;0
16;30875222;30895220;1;0
19;57940833;57947706;-1;0
6;110341973;110354563;1;0
19;57940833;57947706;-1;0
11;64305524;64316743;1;0
6;110245928;110358272;-1;0
21;27143344;27143949;-1;0
2;80699388;80870190;-1;0
6;108986437;109094819;-1;0
5;173607514;173616660;-1;0
19;57953158;57953759;-1;0
13;52455429;52476628;1;0
17;56471142;56473647;1;0
X;108044970;108079184;1;0
17;37143607;37144463;-1;0
11;64305524;64316743;1;0
17;37140611;37141424;-1;0
7;155799980;155812463;-1;0
15;21846329;21877703;-1;0
17;37162616;37163139;1;0
11;48432217;48433147;-1;0
17;55882301;56511659;1;0
17;37386886;37387926;1;0
7;155799980;155812463;-1;0
19;5784832;5791225;-1;0
X;20124525;20141838;-1;0
5;170763350;170814047;1;0
4;39287456;39366375;-1;0
16;1966823;1968975;1;0
17;37375986;37392708;1;0
X;20124525;20141838;-1;0
7;141002610;141015228;-1;0
13;36431520;36442870;1;0
16;1966823;1968975;1;0
4;39287456;39366375;-1;0
6;110180141;110254275;1;0
2;16354256;16432702;1;0
7;128862451;128910719;-1;0
7;141002610;141015228;-1;0
3;13476982;13480053;-1;0
11;64316460;64318084;-1;0
